😀,b'\\U0001F600',grinning face face grin
👨🏻‍💻,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F4BB',man technologist: light skin tone coder developer inventor light skin tone man software technologist
👨🏼‍💻,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F4BB',man technologist: medium-light skin tone coder developer inventor man medium-light skin tone software technologist
👨🏽‍💻,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F4BB',man technologist: medium skin tone coder developer inventor man medium skin tone software technologist
👨🏾‍💻,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F4BB',man technologist: medium-dark skin tone coder developer inventor man medium-dark skin tone software technologist
👨🏿‍💻,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F4BB',man technologist: dark skin tone coder dark skin tone developer inventor man software technologist
👩‍💻,b'\\U0001F469\\U0000200D\\U0001F4BB',woman technologist coder developer inventor software technologist woman
👩🏻‍💻,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F4BB',woman technologist: light skin tone coder developer inventor light skin tone software technologist woman
👩🏼‍💻,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F4BB',woman technologist: medium-light skin tone coder developer inventor medium-light skin tone software technologist woman
👩🏽‍💻,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F4BB',woman technologist: medium skin tone coder developer inventor medium skin tone software technologist woman
👩🏾‍💻,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F4BB',woman technologist: medium-dark skin tone coder developer inventor medium-dark skin tone software technologist woman
👩🏿‍💻,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F4BB',woman technologist: dark skin tone coder dark skin tone developer inventor software technologist woman
👨‍🎤,b'\\U0001F468\\U0000200D\\U0001F3A4',man singer actor entertainer man rock singer star
👨🏻‍🎤,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F3A4',man singer: light skin tone actor entertainer light skin tone man rock singer star
👨🏼‍🎤,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F3A4',man singer: medium-light skin tone actor entertainer man medium-light skin tone rock singer star
👨🏽‍🎤,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F3A4',man singer: medium skin tone actor entertainer man medium skin tone rock singer star
👨🏾‍🎤,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F3A4',man singer: medium-dark skin tone actor entertainer man medium-dark skin tone rock singer star
👨🏿‍🎤,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F3A4',man singer: dark skin tone actor dark skin tone entertainer man rock singer star
👩‍🎤,b'\\U0001F469\\U0000200D\\U0001F3A4',woman singer actor entertainer rock singer star woman
👩🏻‍🎤,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F3A4',woman singer: light skin tone actor entertainer light skin tone rock singer star woman
👩🏼‍🎤,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F3A4',woman singer: medium-light skin tone actor entertainer medium-light skin tone rock singer star woman
👩🏽‍🎤,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F3A4',woman singer: medium skin tone actor entertainer medium skin tone rock singer star woman
👩🏾‍🎤,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F3A4',woman singer: medium-dark skin tone actor entertainer medium-dark skin tone rock singer star woman
👩🏿‍🎤,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F3A4',woman singer: dark skin tone actor dark skin tone entertainer rock singer star woman
👨‍🎨,b'\\U0001F468\\U0000200D\\U0001F3A8',man artist artist man palette
👨🏻‍🎨,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F3A8',man artist: light skin tone artist light skin tone man palette
👨🏼‍🎨,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F3A8',man artist: medium-light skin tone artist man medium-light skin tone palette
👨🏽‍🎨,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F3A8',man artist: medium skin tone artist man medium skin tone palette
👨🏾‍🎨,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F3A8',man artist: medium-dark skin tone artist man medium-dark skin tone palette
👨🏿‍🎨,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F3A8',man artist: dark skin tone artist dark skin tone man palette
👩‍🎨,b'\\U0001F469\\U0000200D\\U0001F3A8',woman artist artist palette woman
👩🏻‍🎨,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F3A8',woman artist: light skin tone artist light skin tone palette woman
👩🏼‍🎨,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F3A8',woman artist: medium-light skin tone artist medium-light skin tone palette woman
👩🏽‍🎨,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F3A8',woman artist: medium skin tone artist medium skin tone palette woman
👩🏾‍🎨,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F3A8',woman artist: medium-dark skin tone artist medium-dark skin tone palette woman
👩🏿‍🎨,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F3A8',woman artist: dark skin tone artist dark skin tone palette woman
👨‍✈️,b'\\U0001F468\\U0000200D\\U00002708\\U0000FE0F',man pilot man pilot plane
👨🏻‍✈️,b'\\U0001F468\\U0001F3FB\\U0000200D\\U00002708\\U0000FE0F',man pilot: light skin tone light skin tone man pilot plane
👨🏼‍✈️,b'\\U0001F468\\U0001F3FC\\U0000200D\\U00002708\\U0000FE0F',man pilot: medium-light skin tone man medium-light skin tone pilot plane
👨🏽‍✈️,b'\\U0001F468\\U0001F3FD\\U0000200D\\U00002708\\U0000FE0F',man pilot: medium skin tone man medium skin tone pilot plane
👨🏾‍✈️,b'\\U0001F468\\U0001F3FE\\U0000200D\\U00002708\\U0000FE0F',man pilot: medium-dark skin tone man medium-dark skin tone pilot plane
👨🏿‍✈️,b'\\U0001F468\\U0001F3FF\\U0000200D\\U00002708\\U0000FE0F',man pilot: dark skin tone dark skin tone man pilot plane
👩‍✈️,b'\\U0001F469\\U0000200D\\U00002708\\U0000FE0F',woman pilot pilot plane woman
👩🏻‍✈️,b'\\U0001F469\\U0001F3FB\\U0000200D\\U00002708\\U0000FE0F',woman pilot: light skin tone light skin tone pilot plane woman
👩🏼‍✈️,b'\\U0001F469\\U0001F3FC\\U0000200D\\U00002708\\U0000FE0F',woman pilot: medium-light skin tone medium-light skin tone pilot plane woman
👩🏽‍✈️,b'\\U0001F469\\U0001F3FD\\U0000200D\\U00002708\\U0000FE0F',woman pilot: medium skin tone medium skin tone pilot plane woman
👩🏾‍✈️,b'\\U0001F469\\U0001F3FE\\U0000200D\\U00002708\\U0000FE0F',woman pilot: medium-dark skin tone medium-dark skin tone pilot plane woman
👩🏿‍✈️,b'\\U0001F469\\U0001F3FF\\U0000200D\\U00002708\\U0000FE0F',woman pilot: dark skin tone dark skin tone pilot plane woman
👨‍🚀,b'\\U0001F468\\U0000200D\\U0001F680',man astronaut astronaut man rocket
👨🏻‍🚀,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F680',man astronaut: light skin tone astronaut light skin tone man rocket
👨🏼‍🚀,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F680',man astronaut: medium-light skin tone astronaut man medium-light skin tone rocket
👨🏽‍🚀,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F680',man astronaut: medium skin tone astronaut man medium skin tone rocket
👨🏾‍🚀,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F680',man astronaut: medium-dark skin tone astronaut man medium-dark skin tone rocket
👨🏿‍🚀,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F680',man astronaut: dark skin tone astronaut dark skin tone man rocket
👩‍🚀,b'\\U0001F469\\U0000200D\\U0001F680',woman astronaut astronaut rocket woman
👩🏻‍🚀,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F680',woman astronaut: light skin tone astronaut light skin tone rocket woman
👩🏼‍🚀,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F680',woman astronaut: medium-light skin tone astronaut medium-light skin tone rocket woman
👩🏽‍🚀,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F680',woman astronaut: medium skin tone astronaut medium skin tone rocket woman
👩🏾‍🚀,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F680',woman astronaut: medium-dark skin tone astronaut medium-dark skin tone rocket woman
👩🏿‍🚀,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F680',woman astronaut: dark skin tone astronaut dark skin tone rocket woman
👨‍🚒,b'\\U0001F468\\U0000200D\\U0001F692',man firefighter firefighter firetruck man
👨🏻‍🚒,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F692',man firefighter: light skin tone firefighter firetruck light skin tone man
👨🏼‍🚒,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F692',man firefighter: medium-light skin tone firefighter firetruck man medium-light skin tone
👨🏽‍🚒,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F692',man firefighter: medium skin tone firefighter firetruck man medium skin tone
👨🏾‍🚒,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F692',man firefighter: medium-dark skin tone firefighter firetruck man medium-dark skin tone
👨🏿‍🚒,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F692',man firefighter: dark skin tone dark skin tone firefighter firetruck man
👩‍🚒,b'\\U0001F469\\U0000200D\\U0001F692',woman firefighter firefighter firetruck woman
👩🏻‍🚒,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F692',woman firefighter: light skin tone firefighter firetruck light skin tone woman
👩🏼‍🚒,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F692',woman firefighter: medium-light skin tone firefighter firetruck medium-light skin tone woman
👩🏽‍🚒,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F692',woman firefighter: medium skin tone firefighter firetruck medium skin tone woman
👩🏾‍🚒,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F692',woman firefighter: medium-dark skin tone firefighter firetruck medium-dark skin tone woman
👩🏿‍🚒,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F692',woman firefighter: dark skin tone dark skin tone firefighter firetruck woman
👮,b'\\U0001F46E',police officer cop officer police
👮🏻,b'\\U0001F46E\\U0001F3FB',police officer: light skin tone cop light skin tone officer police
👮🏼,b'\\U0001F46E\\U0001F3FC',police officer: medium-light skin tone cop medium-light skin tone officer police
👮🏽,b'\\U0001F46E\\U0001F3FD',police officer: medium skin tone cop medium skin tone officer police
👮🏾,b'\\U0001F46E\\U0001F3FE',police officer: medium-dark skin tone cop medium-dark skin tone officer police
👮🏿,b'\\U0001F46E\\U0001F3FF',police officer: dark skin tone cop dark skin tone officer police
👮‍♂️,b'\\U0001F46E\\U0000200D\\U00002642\\U0000FE0F',man police officer cop man officer police
👮🏻‍♂️,b'\\U0001F46E\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man police officer: light skin tone cop light skin tone man officer police
👮🏼‍♂️,b'\\U0001F46E\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man police officer: medium-light skin tone cop man medium-light skin tone officer police
👮🏽‍♂️,b'\\U0001F46E\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man police officer: medium skin tone cop man medium skin tone officer police
👮🏾‍♂️,b'\\U0001F46E\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man police officer: medium-dark skin tone cop man medium-dark skin tone officer police
👮🏿‍♂️,b'\\U0001F46E\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man police officer: dark skin tone cop dark skin tone man officer police
👮‍♀️,b'\\U0001F46E\\U0000200D\\U00002640\\U0000FE0F',woman police officer cop officer police woman
👮🏻‍♀️,b'\\U0001F46E\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman police officer: light skin tone cop light skin tone officer police woman
👮🏼‍♀️,b'\\U0001F46E\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman police officer: medium-light skin tone cop medium-light skin tone officer police woman
👮🏽‍♀️,b'\\U0001F46E\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman police officer: medium skin tone cop medium skin tone officer police woman
👮🏾‍♀️,b'\\U0001F46E\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman police officer: medium-dark skin tone cop medium-dark skin tone officer police woman
👮🏿‍♀️,b'\\U0001F46E\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman police officer: dark skin tone cop dark skin tone officer police woman
🕵,b'\\U0001F575',detective detective sleuth spy
🕵🏻,b'\\U0001F575\\U0001F3FB',detective: light skin tone detective light skin tone sleuth spy
🕵🏼,b'\\U0001F575\\U0001F3FC',detective: medium-light skin tone detective medium-light skin tone sleuth spy
🕵🏽,b'\\U0001F575\\U0001F3FD',detective: medium skin tone detective medium skin tone sleuth spy
🕵🏾,b'\\U0001F575\\U0001F3FE',detective: medium-dark skin tone detective medium-dark skin tone sleuth spy
🕵🏿,b'\\U0001F575\\U0001F3FF',detective: dark skin tone dark skin tone detective sleuth spy
🕵️‍♂️,b'\\U0001F575\\U0000FE0F\\U0000200D\\U00002642\\U0000FE0F',man detective detective man sleuth spy
🕵🏻‍♂️,b'\\U0001F575\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man detective: light skin tone detective light skin tone man sleuth spy
🕵🏼‍♂️,b'\\U0001F575\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man detective: medium-light skin tone detective man medium-light skin tone sleuth spy
🕵🏽‍♂️,b'\\U0001F575\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man detective: medium skin tone detective man medium skin tone sleuth spy
🕵🏾‍♂️,b'\\U0001F575\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man detective: medium-dark skin tone detective man medium-dark skin tone sleuth spy
🕵🏿‍♂️,b'\\U0001F575\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man detective: dark skin tone dark skin tone detective man sleuth spy
🕵️‍♀️,b'\\U0001F575\\U0000FE0F\\U0000200D\\U00002640\\U0000FE0F',woman detective detective sleuth spy woman
🕵🏻‍♀️,b'\\U0001F575\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman detective: light skin tone detective light skin tone sleuth spy woman
🕵🏼‍♀️,b'\\U0001F575\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman detective: medium-light skin tone detective medium-light skin tone sleuth spy woman
🕵🏽‍♀️,b'\\U0001F575\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman detective: medium skin tone detective medium skin tone sleuth spy woman
🕵🏾‍♀️,b'\\U0001F575\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman detective: medium-dark skin tone detective medium-dark skin tone sleuth spy woman
🕵🏿‍♀️,b'\\U0001F575\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman detective: dark skin tone dark skin tone detective sleuth spy woman
💂,b'\\U0001F482',guard guard
💂🏻,b'\\U0001F482\\U0001F3FB',guard: light skin tone guard light skin tone
💂🏼,b'\\U0001F482\\U0001F3FC',guard: medium-light skin tone guard medium-light skin tone
💂🏽,b'\\U0001F482\\U0001F3FD',guard: medium skin tone guard medium skin tone
💂🏾,b'\\U0001F482\\U0001F3FE',guard: medium-dark skin tone guard medium-dark skin tone
💂🏿,b'\\U0001F482\\U0001F3FF',guard: dark skin tone dark skin tone guard
💂‍♂️,b'\\U0001F482\\U0000200D\\U00002642\\U0000FE0F',man guard guard man
💂🏻‍♂️,b'\\U0001F482\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man guard: light skin tone guard light skin tone man
💂🏼‍♂️,b'\\U0001F482\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man guard: medium-light skin tone guard man medium-light skin tone
💂🏽‍♂️,b'\\U0001F482\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man guard: medium skin tone guard man medium skin tone
💂🏾‍♂️,b'\\U0001F482\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man guard: medium-dark skin tone guard man medium-dark skin tone
💂🏿‍♂️,b'\\U0001F482\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man guard: dark skin tone dark skin tone guard man
💂‍♀️,b'\\U0001F482\\U0000200D\\U00002640\\U0000FE0F',woman guard guard woman
💂🏻‍♀️,b'\\U0001F482\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman guard: light skin tone guard light skin tone woman
💂🏼‍♀️,b'\\U0001F482\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman guard: medium-light skin tone guard medium-light skin tone woman
💂🏽‍♀️,b'\\U0001F482\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman guard: medium skin tone guard medium skin tone woman
💂🏾‍♀️,b'\\U0001F482\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman guard: medium-dark skin tone guard medium-dark skin tone woman
