😀,b'\\U0001F600',grinning face face grin
👨🏻‍🏭,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F3ED',man factory worker: light skin tone assembly factory industrial light skin tone man worker
👨🏼‍🏭,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F3ED',man factory worker: medium-light skin tone assembly factory industrial man medium-light skin tone worker
👨🏽‍🏭,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F3ED',man factory worker: medium skin tone assembly factory industrial man medium skin tone worker
👨🏾‍🏭,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F3ED',man factory worker: medium-dark skin tone assembly factory industrial man medium-dark skin tone worker
👨🏿‍🏭,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F3ED',man factory worker: dark skin tone assembly dark skin tone factory industrial man worker
👩‍🏭,b'\\U0001F469\\U0000200D\\U0001F3ED',woman factory worker assembly factory industrial woman worker
👩🏻‍🏭,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F3ED',woman factory worker: light skin tone assembly factory industrial light skin tone woman worker
👩🏼‍🏭,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F3ED',woman factory worker: medium-light skin tone assembly factory industrial medium-light skin tone woman worker
👩🏽‍🏭,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F3ED',woman factory worker: medium skin tone assembly factory industrial medium skin tone woman worker
👩🏾‍🏭,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F3ED',woman factory worker: medium-dark skin tone assembly factory industrial medium-dark skin tone woman worker
👩🏿‍🏭,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F3ED',woman factory worker: dark skin tone assembly dark skin tone factory industrial woman worker
👨‍💼,b'\\U0001F468\\U0000200D\\U0001F4BC',man office worker architect business man manager office white-collar
👨🏻‍💼,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F4BC',man office worker: light skin tone architect business light skin tone man manager office white-collar
👨🏼‍💼,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F4BC',man office worker: medium-light skin tone architect business man manager medium-light skin tone office white-collar
👨🏽‍💼,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F4BC',man office worker: medium skin tone architect business man manager medium skin tone office white-collar
👨🏾‍💼,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F4BC',man office worker: medium-dark skin tone architect business man manager medium-dark skin tone office white-collar
👨🏿‍💼,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F4BC',man office worker: dark skin tone architect business dark skin tone man manager office white-collar
